졸음쉼터명,도로노선명,위도,경도
중앙탑,평택제천선,37.04071855,127.8304502
금성,평택제천선,37.07816706,128.1504306
금성,평택제천선,37.07784786,128.1502779
광혜원,평택제천선,36.95214955,127.4258721
문경,중부내륙선,36.74701103,128.0611382
사벌,중부내륙선,36.46288735,128.200327
낙상,중부내륙선,36.44756543,128.2059013
문경,중부내륙선,36.716794,128.105148
연곡,경부선,36.95431144,127.1830073
입장,경부선,36.91443246,127.1884647
옥산,경부선,36.655882,127.372294
신탄진,경부선,36.42535428,127.4166966
서대전,호남지선,36.31569355,127.3066125
유성,호남지선,36.38088562,127.3354653
북대전,호남지선,36.40660321,127.3675659
북대전,호남지선,36.40617198,127.3678197
옥천,경부선,36.32809569,127.5408926
옥천,경부선,36.33624741,127.5284274
청성,경부선,36.27171161,127.7407581
추풍령,경부선,36.21062321,127.9886414
추풍령,경부선,36.21098462,127.9885463
산내,대전라남도부순환선,36.28080824,127.4495555
당진,서해안선,36.90075043,126.7184687
당진,서해안선,36.90075043,126.7184687
용연,서해안선,36.86123428,126.645546
고북,서해안선,36.65116146,126.5583118
갈산,서해안선,36.63471618,126.5531285
서산,서해안선,36.828862,126.588515
금남,당진대전선,36.45062776,127.2540825
시초,서천공주선,36.12771449,126.7661638
부여,서천공주선,36.31945138,126.8743153
삼례,호남선,35.90227648,127.0575491
삼례,호남선,35.91813603,127.0700848
전주,호남선,35.86956429,127.0513858
전주,호남선,35.86947805,127.0516682
서전주,호남선,35.81832633,127.0295201
태인,호남선,35.66350643,126.9322504
정우,호남선,35.63536201,126.9008508
정우,호남선,35.63629248,126.9028255
내장산,호남선,35.49545628,126.797915
내장산,호남선,35.53752305,126.8138166
마이산,익산장수선,35.77052762,127.3590723
마이산,익산장수선,35.76763628,127.3629332
금산,통영대전선,36.03243515,127.5720737
금산,통영대전선,36.06077801,127.551852
무주,통영대전선,35.93471333,127.6598176
무주,통영대전선,35.911465,127.666254
논산,호남지선,36.1595499,127.1757655
논산,호남지선,36.15344577,127.164785
완주,익산장수선,35.92802974,127.1011742
완주,익산장수선,35.92835808,127.1007658
서김제,서해안선,35.8529422,126.8426538
서김제,서해안선,35.8525746,126.8428673
줄포,서해안선,35.5704338,126.6947728
고창,서해안선,35.37775703,126.6040472
광천,서해안선,36.47863534,126.5872371
무창포,서해안선,36.2749228,126.5791253
춘장대,서해안선,36.18898038,126.5929585
춘장대,서해안선,36.19893677,126.5884265
서천,서해안선,36.06879574,126.747055
서천,서해안선,36.06879574,126.747055
담양,광주광역시대구선,35.26094439,126.9711687
장성,호남선,35.31545483,126.7935583
장성,호남선,35.3168901,126.7939767
광산,호남선,35.22685633,126.8263096
대덕,호남선,35.24506423,127.0258298
삼기,호남선,35.23404867,127.2041699
삼기,호남선,35.23383947,127.2041806
장성물류,고창담양선,35.347596,126.778012
장성물류,고창담양선,35.34725215,126.7777965
태령,고창담양선,35.24883378,126.9283468
태령,고창담양선,35.24883378,126.9283468
주암,호남선,35.05593487,127.2773555
주암,호남선,35.05593487,127.2773555
순천,남해선,34.99606303,127.4936989
광양,남해선,34.98462117,127.5891467
광양,남해선,34.98462117,127.5891467
영광,서해안선,35.24945575,126.5189718
몽탄,서해안선,34.95257541,126.5038207
